unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
NJDb;7,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Buttermilk Falls Limestone - Light- to medium-light-gray-weathering, medium- to dark-gray, thin- to medium-bedded, fossiliferous, flaggy, clayey to silty limestone. Onondaga Limestone - Light-medium-gray- weathering, medium gray, fine-grained, thin- to thick-bedded fossiliferous limestone.  "
NJDb;7,Major,Sedimentary,Chemical,Chert,,,Chert,Bed,Buttermilk Falls Limestone - .nodular black chert. Onondaga Limestone - Black chert more abundant in upper half of unit. 
NJDbv;6,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Upper beds are grayish-red to grayish-purple sandstone containing quartz pebbles as large as 3 cm (1.2 in) in diameter. Lower beds are light-olive-gray- to yellowish-gray- and greenish-black-weathering, medium-gray to medium-bluish-gray very thin to very thick bedded siltstone and sandstone cross-bedded. More sandstone in upper beds becomes finer downward. "
NJDbv;6,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"Lower beds are light-olive-gray- to yellowish-gray- and greenish-black-weathering, medium-gray to medium-bluish-gray very thin to very thick bedded siltstone. "
NJDbv;6,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,Lower beds ; graded and interbedded with black to dark-gray shale that is locally fossiliferous. 
NJDcw;6,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"Black to dark-gray, very-thin- to thickbedded, fissile shale, fossiliferous. "
NJDcw;6,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"interbedded with medium-gray and light-olive-gray to yellowish-gray, laminated to very-thin-bedded siltstone "
NJDs;7,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,lesser amounts of silty limestone 
NJDsk;6,Incidental,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,Bed, 
NJwater;0,Major,Water,,,,,Water,, 
NJTkb;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed, 
NJTRscq;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,pebble to cobble quartzite conglomerate 
NJYbs;11,Incidental,Igneous,Plutonic,Syenitic,Monzonite,,Monzonite,, 
NJDkc;7,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Calcareous,"Coeymans Formation - medium-light-gray, fine- to coarse-grained calcareous sandstone; local beds of fine- to coarse-grained pebbly calcareous sandstone. "
NJDsk;6,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed, 
NJDsk;6,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,red shale and mud-cracked shale 
NJKrbs;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,somewhat clayey 
NJTch;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Alluvial, 
NJTkl;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,fossiliferous clayey silt 
NJJps;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
NJTRs;2,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
NJCAZw;3,Minor,Metamorphic,Amphibolite,,,,Amphibolite,, 
NJTkb;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed, 
NJCAl;6,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
NJDe;7,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Lense,"Medium-gray weathering, medium- to dark-gray, laminated to medium-bedded, partly massive, shaly to finely arenaceous siltstone, containing minor calcareous siltstone near top, locally limonite stained. "
NJDkc;7,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Coeymans Formation - medium-light-gray, fine- to coarse-grained calcareous sandstone and medium-gray, fine- to coarse-grained, medium- to thick-bedded, locally irregularly-bedded, argillaceous to arenaceous limestone; grades downward into medium-gray, fine-grained, argillaceous and arenaceous limestone. Kalkberg Limestone - medium-gray-weathering, medium-dark-gray, fine-grained, very thin to massively bedded fossiliferous limestone. Grades downward into fine- to medium-grained, thin-bedded, fossiliferous argillaceous limestone. Coeymans Limestone - medium-gray weathering, medium-dark-gray, fine-to-coarse-grained, medium- to massively bedded fossiliferous limestone and local argillaceous limestone lenses. Manlius Limestone - medium-gray weathering, medium-dark- to dark-gray, very fine to fine-grained, unevenly bedded fossiliferous limestone. Some local medium-grained limestone, yellowish-gray shale partings and biostromes.  "
NJDkc;7,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed,Coeymans Formation - nodules of black chert. Kalkberg Limestone - nodules and lenses of dark-gray chert. 
NJDkec;6,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Kanouse Sandstone - Medium-gray, light-brown, and grayish-red, fine- to coarse-grained, thin- to thick-bedded sparsely fossiliferous sandstone. Esopus Formation - dusky-blue sandstone, yellowish-gray fossiliferous sandstone. "
NJDkec;6,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Kanouse Sandstone - pebble conglomerate, similar to the upper part of the Esopus Formation and contain well-sorted, subangular to subrounded, gray and white quartz pebbles less than 1 cm (0.4 in.) long. Connelly Conglomerate - Grayish-orange weathering, very light gray to yellowish-gray, thin-bedded quartz-pebble conglomerate. Quartz pebbles average 1 to 2 cm (0.4-0.8 in.), are subrounded to well rounded, and well sorted.  "
NJDkec;6,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"Kanouse Sandstone - interbedded with siltstone similar to the upper part of the Esopus Formation. Esopus Formation - light- to dark-gray, laminated to thin-bedded siltstone and yellowish-gray fossiliferous siltstone.  "
NJDkec;6,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed,Esopus Formation - interbedded with dark-gray to black mudstone. 
NJKwb;1,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,Unit is massive except at the base where thin quartz sand layers occur. 
NJDm;7,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"Medium-gray weathering, dark-gray to grayish-black, thin- to thick-bedded, fossiliferous, fissile and limonite-stained locally arenaceous shale. Lower contact grades downward over 12 m (40 ft) from black shale through limy shale. "
NJDm;7,Major,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,Bed,"Medium-gray weathering, dark-gray to grayish-black, thin- to thick-bedded, fossiliferous, fissile and limonite-stained locally arenaceous shale. Lower contact grades downward over 12 m (40 ft) from black shale through limy shale. "
NJDm;7,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone,,added subordinate siltstone and sandstone in rocktype3 per Ronald Pristas at NJ Geological Survey (March 2007) 
NJDm;7,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,,added subordinate siltstone and sandstone in rocktype3 per Ronald Pristas at NJ Geological Survey (March 2007) 
NJDmn;7,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Minisink Limestone - Light-medium-gray-weathering, medium-gray, fine-grained, medium-bedded, partly massive, argillaceous fossiliferous limestone. Some nodules and lenses of purer limestone occur locally. New Scotland Formation - Upper part pods of medium-dark-gray, very fine grained limestone; scattered thin beds and lenses of medium-gray, fine-grained argillaceous fossiliferous limestone; lower part contains thin beds and lenses of medium-gray, fine-grained, highly fossiliferous, argillaceous limestone. "
NJDmn;7,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"New Scotland Formation - Upper part is dark-gray, very fine grained, laminated to thin-bedded siliceous shale. Lower part is medium-dark-gray, thin-bedded, siliceous, fossiliferous calcareous shale.  "
NJDmn;7,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed,"New Scotland Formation - Upper part, small dark-gray chert nodules. Lower part, nodules, lenses and, locally, irregular beds of dark-gray chert. "
NJDo;7,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Lense,"Ridgely Sandstone - White-weathering, medium-gray, medium- to thick-bedded, carbonate-cemented quartz-pebble conglomerate. "
NJDo;7,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Lense,"Ridgely Sandstone - coarse quartz sandstone, which contain abundant brachiopods; moderately well sorted, sub-rounded sand gains. "
NJDo;7,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Lense,"Shriver Chert - medium- to dark-gray-weathering, black to dark-gray, medium-to-thick-bedded siltstone. "
NJDo;7,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,Lense,Shriver Chert 
NJDo;7,Incidental,Sedimentary,Chemical,Chert,,,Chert,Lense,Shriver Chert - interbedded black chert and local chert-bearing limestone. Glenarie Formation - local chert lenses. 
NJDo;7,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Lense,"Shriver Chert - local chert-bearing limestone. Glenarie Formation - medium-gray-weathering, medium- to dark-gray, fine-grained, thin- to medium-bedded, fossiliferous, silty limestone. "
NJDp;7,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Calcareous,"Upper part is medium-gray- weathering, dark-to-medium-dark-gray, thin- to medium-bedded, fossiliferous, calcareous siltstone.  "
NJDp;7,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous,"Upper part is medium-gray- weathering, dark-to-medium-dark-gray, thin- to medium-bedded, fossiliferous, calcareous siltstone and shale. Lower part is medium-dark-gray, irregularly bedded nonfossiliferous, calcareous silty shale.  "
NJDs;7,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Calcareous,"Yellowish-gray- to locally pale-olive-weathering, medium- to dark-gray, medium- to thick-bedded, calcaeous siltstone. "
NJDs;7,Incidental,Sedimentary,Chemical,Chert,,,Chert,Lense,Locally contains thin ribs or pods of black chert in limestone. 
NJYpg;11,Incidental,Metamorphic,Amphibolite,,,,Amphibolite,,Locally includes small bodies of amphibolite not shown on map. 
NJJf;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Interbedded brownish-red to light-grayish-red, fine- to coarse-grained sandstone. Fine-grained sandstone and siltstone are moderately well sorted, commonly cross-laminated, and have 15 percent or more feldspar. "
NJDsk;6,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Grayish-purple to grayish-red, thin- to very thick bedded, locally cross-bedded, polymictic conglomerate and sandstone containing clasts of white vein quartz, red and green quartzite and sandstone, red and gray chert, and red shale; Conglomerate and sandstone matrix is primarily hematite and microcrystalline quartz. Conglomerate cobbles range to 16.5 cm (6.5 in) long, and average cobble size increases in upper part of unit.  "
NJDsk;6,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Grayish-purple to grayish-red, thin- to very thick bedded, locally cross-bedded, polymictic conglomerate and sandstone containing clasts of white vein quartz, red and green quartzite and sandstone, red and gray chert, and red shale; interbedded with medium-gray, thin-bedded sandstone. Conglomerate and sandstone matrix is primarily hematite and microcrystalline quartz.  "
NJDSrd;7,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Rondout Formation - Upper part is medium-gray weathering, medium-dark-gray, very fine to fine-grained, medium-bedded, fossiliferous, argillaceous limestone. Lower part is medium-gray-weathering, medium- to dark-gray, very fine to medium-grained, medium-bedded fossiliferous limestone. Decker Formation - locally interbedded with fossiliferous medium-gray, medium- to coarse-grained limestone. "
NJDSrd;7,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"Rondout Formation - middle part is light-medium-gray-weathering, medium-gray, laminated to medium-bedded, argillaceous dolomite. Decker Formation - very fine grained, thin- to medium-bedded dolomite.  "
NJDSrd;7,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"Decker Formation - Light-gray- to yellowish-gray-weathering, light- to medium-gray, calcareous quartz siltstone. "
NJDSrd;7,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Decker Formation - Light-gray- to yellowish-gray-weathering, light- to medium-gray, calcareous sandstone. "
NJDSrd;7,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Decker Formation - Light-gray- to yellowish-gray-weathering, light- to medium-gray fine-pebble conglomerate.  "
NJJb;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"reddish-brown to brownish-purple, fine-grained sandstone; gray, fine-grained sandstone may have carbonized plant remains and reptile footprints in middle and upper parts of unit. Sandstone commonly micaceous.  "
NJJp;2,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,,"Basalt, coarse-crystalline, very dark greenish gray to black. Texture is subophitic; plagioclase and augite crystals are nearly equal in size; no fine-grained groundmass "
NJJb;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"Red, gray and brownish-purple siltstone and black, blocky, partly dolomitic siltstone and shale common in lower part. Irregular mudcracks, symmetrical ripple marks, and burrows, as well as gypsum, glauberite, and halite pseudomorphs are abundant in red mudstone and siltstone.  "
NJJb;5,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed,"Irregular mudcracks, symmetrical ripple marks, and burrows, as well as gypsum, glauberite, and halite pseudomorphs are abundant in red mudstone and siltstone.  "
NJJb;5,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,. 
NJJb;5,Incidental,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum,Bed,. 
NJJb;5,Incidental,Sedimentary,Chemical,Evaporite,Salt,,Salt,Bed,"glauberite, and halite pseudomorphs are abundant in red mudstone and siltstone.  "
NJKp;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Bed,"Sand, fine- to coarse-grained, locally gravelly, crossbedded, light-colored. "
NJJb;5,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"reddish-brown to brownish-purple, fine-grained sandstone; gray, fine-grained sandstone may have carbonized plant remains and reptile footprints in middle and upper parts of unit. Sandstone commonly micaceous.  "
NJJbcq;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Near Morristown, beds of quartz-pebble conglomerate (unit Jbcq) as much as 0.5 m (1.6 ft) thick interfinger with beds of sandstone, siltstone, and shale.  "
NJJc;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,Dark to very-dark-gray conglomerate with clasts mostly of sub-angular to subrounded greenish-black basalt cobbles and boulders. Other clasts (about 10 to 15%) are pebbles to boulders of hornblende granite with pink feldspar. Matrix is dark-pinkish-gray arkosic sand. 
NJJc;5,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,Bed,Matrix is dark-pinkish-gray arkosic sand 
NJJd;2,Major,Igneous,Plutonic,,,,Plutonic,Diabase,"Concordant to discordant, predominantly sheet-like intrusions of medium- to fine-grained diabase and dikes of fine-grained diabase; dark-greenish-gray to black; subophitic texture "
NJJTRp;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
NJJTRp;5,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
NJJd;5,Major,Igneous,Plutonic,,,,Plutonic,Diabase,"Fine-grained to aphanitic dikes; medium- to coarsegrained, subophitic discordant stock-like intrusions of dark-greenish-gray to black diabase. The chilled margins of diabase masses are aphanitic to very fine grained. Diabase is dense, hard, and sparsely fractured. It is composed mostly of plagioclase (An50-70), clinopyroxene (mostly augite) and magnetiteñilmenite. Accessory minerals include apatite, quartz, alkali feldspar, hornblende, titantite, and zirocon. Olivine is rare. "
NJJf;2,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Mostly fine-grained, feldspathic sandstone, fine-grained sandstone is moderately well sorted, cross laminated, and contains 15 percent or more feldspar "
NJJf;2,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,coarse siltstone 
NJJf;2,Minor,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,"silty mudstone, brownish-red to light-grayish-red "
NJTkb;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"Clay to silty clay at the base and sand at the top. Clay, massive to laminated, gray-brown, locally contains abundant diatoms and scattered small shell fragments. Pyrite is common in clayey strata "
NJJf;2,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Calcareous,"mudstone, indistinctly laminated, bioturbated, and calcareous in places; A thin bed (0-2 m (0-7 ft) thick) of black, microlaminated carbonaceous limestone and gray calcareous mudstone occurs near the base and contains fish and plant fossils, and thermally mature hydrocarbons.  "
NJJf;2,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,carbonaceous,"A thin bed (0-2 m (0-7 ft) thick) of black, microlaminated carbonaceous limestone and gray calcareous mudstone occurs near the base and contains fish and plant fossils, and thermally mature hydrocarbons.  "
NJJf;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"coarse siltstone; fine-grained sandstone and siltstone are moderately well sorted, commonly cross-laminated, and have 15 percent or more feldspar. Near the base are two thin, laterally continuous beds of black, carbonaceous limestone and gray, calcareous siltstone, each up to 3 m (10 ft) thick. These contain abundant fish, reptile, anthropod, and diagnostic plant fossils. Three or four, thin, gray to black siltstone and mudstone sequences occur in upper part of unit. "
NJJf;5,Minor,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,"silty mudstone; interbedded with brownish-red, indistinctly laminated, bioturbated calcareous mudstone; three or four, thin, gray to black siltstone and mudstone sequences occur in upper part of unit. "
NJJf;5,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"Near the base are two thin, laterally continuous beds of black, carbonaceous limestone and gray, calcareous siltstone, each up to 3 m (10 ft) thick. These contain abundant fish, reptile, anthropod, and diagnostic plant fossils. "
NJJf;5,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed,"silty mudstone; interbedded with brownish-red, indistinctly laminated, bioturbated calcareous mudstone; three or four, thin, gray to black siltstone and mudstone sequences occur in upper part of unit. "
NJJfc;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,subrounded pebbles to cobbles of quartzite and quartz 
NJJfc;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,red siltstone and sandstone matrix 
NJJfc;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,red siltstone and sandstone matrix 
NJJg;5,Major,Igneous,Plutonic,Granitic,,,Granitic,Diabase,"Plugs of dark gray, concordant to discordant sheetlike, medium- to coarse-grained, quartz-rich to albite-rich granophyre. Sheetlike intrusions are as much as 360 to 400 m (1,180-1,310 ft) thick. "
NJJh;5,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Flow,"Light- to dark-greenish-gray, medium- to coarse-grained, amygdaloidal basalt composed of plagioclase (typically An65 and commonly porphyritic), clinopyroxene (augite and pigeonite), and iron-titanium oxides such as magnetite and ilmenite. "
NJJo;2,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,,"Basalt, fine-grained to aphanitic, dark-greenish-gray, composed mostly of calcic plagioclase and augite; crystals smaller than 1 mm (0.04 in).  "
NJJo;5,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Flow,Dark-greenish-gray to greenish-black basalt composed mostly of calcic plagioclase (typically An65) and clinopyroxene (augite and pigeonite); crystals are generally less than 1 mm (0.04 in) long. 
NJJo;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"The flows are separated in places by a weathered zone or by a thin, up to 3-m- (10-ft-) thick bed of red siltstone (not shown on map) or volcaniclastic rock. "
NJJp;5,Major,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Flow,"Dark-greenish-gray to black, very-fine-grained, dense, hard basalt composed mostly of intergrown calcic plagioclase (An55-60) and clinopyroxene (pigeonite and augite).  "
NJJt;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"reddish-brown to brownish-purple, fine- to medium-grained micaceous sandstone, sandstone is commonly trough cross laminated "
NJJt;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"siltstone and calcareous siltstone and black, microlaminated calcareous siltstone and mudstone containing diagnostic pollen, fish and dinosaur tracks. "
NJJt;5,Major,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,"silty mudstone; microlaminated calcareous siltstone and mudstone containing diagnostic pollen, fish and dinosaur tracks. "
NJJt;5,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"reddish-brown to brownish-purple, fine- to medium-grained micaceous sandstone, sandstone is commonly trough cross laminated "
NJJtc;5,Major,Sedimentary,Clastic,Mixed-clastic,Conglomerate-sandstone,,Conglomerate-sandstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt 
NJJtc;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt. 
NJJtc;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,Conglomerate and conglomeratic sandstone with subrounded quartzite and quartz clasts in matrix of light-red sand to brownish-red silt. 
NJJTRp;2,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,predominantly red beds consisting of argillaceous siltstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,silty mudstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,very fine grained sandstone 
NJJTRp;2,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,. 
NJJTRpcl;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"medium-bedded to massive, pebble to boulder conglomerate. Clasts are subangular dolomitic limestone "
NJJTRpcl;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,matrix of brownish- to purplish-red sandstone to mudstone 
NJJTRpcl;5,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed,matrix of brownish- to purplish-red sandstone to mudstone 
NJTkb;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,Bed,silty clay 
NJJTRpcq;5,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,"Quartzite conglomerate unit (JTrpcq) is reddish-brown pebble conglomerate, pebbly sandstone, and sandstone, in upward-fining sequences 1 to 2 m (3-6 ft) thick. Clasts are subangular to subrounded, quartz and quartzite in sandstone matrix.  "
NJJTRpcq;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"Quartzite conglomerate unit (JTrpcq) is reddish-brown pebbly sandstone, and sandstone in a sandstone matrix. Sandstone is medium to coarse grained, feldspathic (up to 20 percent feldspar), and locally contains pebble and cobble layers.  "
NJKmg;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Bed,"black to dark-gray, very carbonaceous clay is locally interstratified with the sand "
NJJTRpms;5,Major,Sedimentary,Clastic,Mixed-clastic,Sandstone-mudstone,,Sandstone-mudstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Major,Sedimentary,Clastic,Mixed-clastic,Siltstone-mudstone,,Siltstone-mudstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRpms;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone.  "
NJJTRps;5,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Calcareous,"interbedded grayish-red to brownish-red, medium- to fine-grained, medium- to thick-bedded sandstone; unit is planar to ripple cross-laminated, fissile, locally calcareous, containing desiccation cracks and root casts. Upward-fining cycles are 1.8 to 4.6 m (6-15 ft) thick. Sandstone beds are coarser and thicker near conglomerate units (JTrpcq, JTrpcl).  "
NJJTRps;5,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"brownish-to-purplish-red coarse-grained siltstone; unit is planar to ripple cross-laminated, fissile, locally calcareous, containing desiccation cracks and root casts. Upward-fining cycles are 1.8 to 4.6 m (6-15 ft) thick. "
NJJTRpsc;5,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"medium- to coarse-grained, feldspathic sandstone; unit is planar to low-angle trough cross laminated, burrowed, and contains local pebble layers. "
