time (s),magnetic field intensity (nT)
8.200000000000001,51540.457764660234
8.3,51507.11513805802
8.4,51467.849572970685
8.5,51490.00764837997
8.6,51529.03983379476
8.700000000000001,51488.29733386413
8.8,51481.035038357884
8.9,51497.81005827659
9.0,51495.70369905556
9.1,51479.81419670976
9.200000000000001,51514.02376094166
9.3,51512.89457375089
9.4,51491.10635927265
9.5,51523.86373963991
9.600000000000001,51525.98343913057
9.700000000000001,51521.6339352494
9.8,51495.000215101085
9.9,51497.1755873708
10.0,51511.77172876985
10.100000000000001,51533.797571422845
10.200000000000001,51493.57704209057
10.3,51513.50923956004
10.4,51476.29144399643
10.5,51487.06254005821
10.600000000000001,51469.63130905414
10.700000000000001,51522.22922762187
10.8,51479.459822573765
10.9,51493.81507919495
11.0,51519.92626803375
11.100000000000001,51477.17823104733
11.200000000000001,51501.708346759624
11.3,51503.86509404118
11.4,51478.60167243652
11.5,51478.438624212235
11.600000000000001,51509.737749407606
11.700000000000001,51488.26734689808
11.8,51488.29878726442
11.9,51496.66542420299
12.0,51511.65025317373
12.100000000000001,51504.16515969939
12.200000000000001,51538.9621706556
12.3,51473.81167406963
12.4,51482.095576184845
12.5,51492.29489214709
12.600000000000001,51479.21022608589
12.700000000000001,51480.71427084152
12.8,51488.39641251565
12.9,51491.27372440268
13.0,51518.05787891673
13.100000000000001,51501.09571483228
13.200000000000001,51528.184544307995
13.3,51509.06457910448
13.4,51513.137758961915
13.5,51538.41016203815
13.600000000000001,51488.42772512672
13.700000000000001,51543.5984180767
13.8,51484.625991868306
13.9,51474.23963425451
14.0,51519.763645234074
14.100000000000001,51499.78790721697
14.200000000000001,51510.134799492786
14.3,51481.82045743628
14.4,51535.76781426355
14.5,51471.23688004758
14.600000000000001,51504.11583761022
14.700000000000001,51507.7264971084
14.8,51497.18895446596
14.9,51561.569645375705
15.0,51494.531292642314
15.100000000000001,51463.60859186214
15.200000000000001,51514.91198408088
15.3,51519.594691784594
15.4,51532.165667226065
15.5,51476.061440312646
15.600000000000001,51520.486920529656
15.700000000000001,51495.92977294392
15.8,51479.699055241785
15.9,51497.024107169236
16.0,51515.99088792286
16.1,51519.86806653409
16.2,51501.2889965732
16.3,51498.925788136934
16.400000000000002,51482.148274562576
16.5,51488.932035442805
16.6,51502.6665831272
16.7,51504.59493476842
16.8,51480.76076624238
16.900000000000002,51499.82989480499
17.0,51477.28020691662
17.1,51527.452584572144
17.2,51470.07366142787
17.3,51505.78763714422
17.400000000000002,51503.885345302384
17.5,51540.54290498688
17.6,51507.46328424013
17.7,51516.61854535096
17.8,51511.462056020326
17.900000000000002,51493.88533810023
18.0,51523.97489409783
18.1,51509.54857326004
18.2,51476.52061453408
18.3,51502.10871457379
18.400000000000002,51517.41742455804
18.5,51518.05707407605
18.6,51500.62850543281
18.7,51536.4118838251
18.8,51491.35425474834
18.900000000000002,51533.29424816675
19.0,51495.61894398739
19.1,51524.63503303085
19.200000000000003,51501.56573274772
19.3,51479.10387639256
19.400000000000002,51493.95254974837
19.5,51483.27760031164
19.6,51480.19182342438
19.700000000000003,51488.5385083779
19.8,51479.84943358301
19.900000000000002,51453.674191809056
20.0,51519.14517973872
20.1,51504.17567073264
20.200000000000003,51512.167704202904
20.3,51477.18814049076
20.400000000000002,51487.89294893855
20.5,51498.3156093322
20.6,51485.78869334856
20.700000000000003,51499.405040457925
20.8,51519.89338161222
20.900000000000002,51474.97292793189
21.0,51528.50291799039
21.1,51477.14192114833
21.200000000000003,51495.6209330981
21.3,51486.003943959695
21.400000000000002,51461.16222695305
21.5,51480.20229353802
21.6,51498.522320636046
21.700000000000003,51524.19471904254
21.8,51479.76707596147
21.900000000000002,51509.27077465277
22.0,51497.541958783026
22.1,51497.488480483364
22.200000000000003,51506.92271838779
22.3,51459.64927736833
22.400000000000002,51484.94298741456
22.5,51511.96350008072
22.6,51515.785928514386
22.700000000000003,51504.86848727984
22.8,51506.75281936835
22.900000000000002,51497.437767856
23.0,51517.792074891135
23.1,51502.785688345415
23.200000000000003,51517.479551279386
23.3,51486.90819994698
23.400000000000002,51494.387213512506
23.5,51510.89620738755
23.6,51484.55188996483
23.700000000000003,51493.95941193783
23.8,51513.61580908121
23.900000000000002,51488.77790864823
24.0,51522.43452072517
24.1,51499.43613503052
24.200000000000003,51528.9900624098
24.3,51505.6417159705
24.400000000000002,51479.99499397359
24.5,51464.53633081567
24.6,51510.36616010656
24.700000000000003,51511.50597338396
24.8,51540.53153898181
24.900000000000002,51520.03375421456
25.0,51461.46000603508
25.1,51505.11940084433
25.200000000000003,51478.68640588042
25.3,51494.25152032127
25.400000000000002,51513.0264569643
25.5,51513.61522791403
25.6,51514.64157774638
25.700000000000003,51499.893169377334
25.8,51505.05814240965
25.900000000000002,51457.55792991708
26.0,51511.34647957145
26.1,51525.589409664106
26.200000000000003,51519.608187653925
26.3,51458.70664180981
26.400000000000002,51482.587546568466
26.5,51503.77363188405
26.6,51485.301805974676
26.700000000000003,51488.6081157097
26.8,51504.42230998981
26.900000000000002,51513.89567520752
27.0,51530.11684179216
27.1,51500.69946561359
27.200000000000003,51462.040485989746
27.3,51505.40160047473
27.400000000000002,51478.28428657841
27.5,51465.44632970261
27.6,51534.43988840702
27.700000000000003,51520.12920762265
27.8,51516.109324588026
27.900000000000002,51477.564470806
28.0,51498.641383472284
28.1,51532.491312454185
28.200000000000003,51498.600123226955
28.3,51494.08448937827
28.400000000000002,51524.28472856842
28.5,51477.89840854282
28.6,51550.636239985004
28.700000000000003,51504.99550727397
28.8,51502.31172045924
28.900000000000002,51492.48508328731
29.0,51487.420386030055
29.1,51509.15552213821
29.200000000000003,51464.233137016374
29.3,51506.428811125705
29.400000000000002,51476.574371299575
29.5,51533.50708666107
29.6,51484.30815752097
29.700000000000003,51475.24425364071
29.8,51484.350371106455
29.900000000000002,51478.459181559505
30.0,51488.46154343719
30.1,51506.79180149704
30.200000000000003,51470.915890517834
30.3,51480.92978205785
30.400000000000002,51524.20080028103
30.5,51499.48623036244
30.6,51525.49217128259
30.700000000000003,51538.79024084929
30.8,51494.464423541234
30.900000000000002,51459.26727527242
31.0,51526.10915475953
31.1,51532.56363974906
31.200000000000003,51469.1977639304
31.3,51501.443638496916
31.400000000000002,51511.9291583971
31.5,51493.49462298318
31.6,51501.704697385976
31.700000000000003,51514.62170703217
31.8,51525.50461479088
31.900000000000002,51486.20333368053
32.0,51505.980943072725
32.1,51457.67548948029
32.2,51465.45650758488
32.300000000000004,51478.62092962397
32.4,51482.74178871461
32.5,51470.24520791916
32.6,51500.72325551601
32.7,51487.09668987732
32.800000000000004,51454.418101887626
32.9,51504.99743144726
33.0,51478.75163847939
33.1,51509.68445508207
33.2,51537.46931993183
33.300000000000004,51469.72521368329
33.4,51439.26565622303
33.5,51503.76808852548
33.6,51486.1269142275
33.7,51514.07495381832
33.800000000000004,51482.690093243466
33.9,51526.58856820855
34.0,51464.48536194917
34.1,51495.5531906741
34.2,51486.152387688126
34.300000000000004,51553.33882996638
34.4,51507.29172995612
34.5,51512.9048157254
34.6,51475.98383156038
34.7,51519.66248613317
34.800000000000004,51441.15676909392
34.9,51481.82180045157
35.0,51512.816051479196
35.1,51472.32138195215
35.2,51507.4304442284
35.300000000000004,51517.14117941592
35.4,51510.0209932351
35.5,51518.36176034893
35.6,51468.62115549919
35.7,51468.846023003
35.800000000000004,51535.9045915026
35.9,51503.25753701544
36.0,51510.83938325937
36.1,51503.286037318016
36.2,51505.32612192605
36.300000000000004,51479.84749033264
36.4,51481.256843840805
36.5,51510.79018539152
36.6,51508.70327986254
36.7,51461.31220190329
36.800000000000004,51489.08140462629
36.9,51548.786924216525
37.0,51482.93825814733
37.1,51475.10401865342
37.2,51507.52118668954
37.300000000000004,51500.24485836971
37.4,51508.4521898686
37.5,51481.033184791864
37.6,51505.18344959707
37.7,51474.63082038021
37.800000000000004,51456.52543107329
37.9,51505.45491097221
38.0,51489.95034503546
38.1,51491.357909520484
38.2,51490.51445667872
38.300000000000004,51503.90983835631
38.400000000000006,51501.49970619045
38.5,51512.92767847188
38.6,51517.78043055274
38.7,51519.25970718399
38.800000000000004,51456.84002782959
38.900000000000006,51480.86563216468
39.0,51495.84330036689
39.1,51523.8396654327
39.2,51499.46696929884
39.300000000000004,51462.86560735006
39.400000000000006,51485.82493349712
39.5,51521.63297014181
39.6,51487.66454068514
39.7,51525.40039255617
39.800000000000004,51500.22194813147
39.900000000000006,51548.017545380666
40.0,51523.56079280892
40.1,51528.63436790668
40.2,51477.75033749439
40.300000000000004,51489.98193683461
40.400000000000006,51480.66067726661
40.5,51522.66561863241
40.6,51500.385740272846
40.7,51507.124061991315
40.800000000000004,51509.42149148972
40.900000000000006,51532.667804644465
41.0,51462.20577661196
41.1,51489.24072324155
41.2,51469.5507816058
41.300000000000004,51537.17543174533
41.400000000000006,51503.852440232135
41.5,51491.03920347158
41.6,51522.86632924976
41.7,51484.267889536604
41.800000000000004,51494.19851524504
41.900000000000006,51501.01846830081
42.0,51510.22826216273
42.1,51488.04783483843
42.2,51496.32349030412
42.300000000000004,51496.88943327044
42.400000000000006,51494.71539051868
42.5,51495.01340466353
42.6,51503.80866530224
42.7,51462.74059546481
42.800000000000004,51461.14943338058
42.900000000000006,51485.0370649257
43.0,51498.18582665669
43.1,51491.206060415476
43.2,51473.957204131126
43.300000000000004,51472.7749295485
43.400000000000006,51482.02350409671
43.5,51458.15690681929
43.6,51495.525761243494
43.7,51505.672428263526
43.800000000000004,51505.75446916896
43.900000000000006,51501.12664408614
44.0,51472.358042888176
44.1,51501.64827639829
44.2,51528.44195050808
44.300000000000004,51490.80520222364
44.400000000000006,51526.49245472098
44.5,51536.11503747286
44.6,51479.23228204408
44.7,51511.212815136234
44.800000000000004,51495.97449538521
44.900000000000006,51513.3700738719
45.0,51504.40242299705
45.1,51499.231644662235
45.2,51547.72410929667
45.300000000000004,51482.66388323866
45.400000000000006,51462.56733639657
45.5,51485.37290958314
45.6,51503.38045294285
45.7,51491.79449512121
45.800000000000004,51490.45127637456
45.900000000000006,51474.077147520606
46.0,51532.80359239074
46.1,51499.75097518026
46.2,51513.2306696778
46.300000000000004,51504.95620114104
46.400000000000006,51474.82485512739
46.5,51484.91919904447
46.6,51489.9510295928
46.7,51462.928803398936
46.800000000000004,51494.48085250675
46.900000000000006,51508.15580547346
47.0,51460.49016009914
47.1,51473.71452956008
47.2,51467.894674850795
47.300000000000004,51469.80922858003
47.400000000000006,51493.76908540444
47.5,51479.09643041763
47.6,51486.89646380519
47.7,51503.271207309816
47.800000000000004,51492.75502802126
47.900000000000006,51494.3854622964
48.0,51520.27265908542
48.1,51503.23882019615
48.2,51504.32459219773
48.300000000000004,51504.332329435085
48.400000000000006,51501.36156234831
48.5,51504.118102947905
48.6,51518.820089804445
48.7,51479.057242478724
48.800000000000004,51508.286471386615
48.900000000000006,51530.389065445146
49.0,51491.828243393684
49.1,51456.29117432448
49.2,51497.782436661444
49.300000000000004,51489.222185320155
49.400000000000006,51488.95871101138
49.5,51487.741763578175
49.6,51494.52140156809
49.7,51486.89899517649
49.800000000000004,51493.22225801075
49.900000000000006,51483.250618810314
50.0,51506.11446099003
50.1,51512.09872454283
50.2,51452.87313361068
50.300000000000004,51524.23141897301
50.400000000000006,51530.4647564839
50.5,51483.691042488055
50.6,51528.86946946452
50.7,51459.18624371178
50.800000000000004,51540.149102985866
50.900000000000006,51482.872635374195
51.0,51522.59167432999
51.1,51514.049558298626
51.2,51508.14656512379
51.300000000000004,51507.53412955886
51.400000000000006,51515.43719270543
51.5,51516.0864690335
51.6,51490.427506823966
51.7,51508.37638914182
51.800000000000004,51477.79427359811
51.900000000000006,51521.66739125263
52.0,51516.505935093905
52.1,51513.26878850177
52.2,51482.68589536878
52.300000000000004,51503.56919645192
52.400000000000006,51501.90637608774
52.5,51518.35663485122
52.6,51471.22988735926
52.7,51490.03646598363
52.800000000000004,51456.359192536074
52.900000000000006,51431.35377241543
53.0,51494.19362663544
53.1,51478.21128409191
53.2,51499.73180599214
53.300000000000004,51490.50375388048
53.400000000000006,51460.389448565336
53.5,51505.04584165092
53.6,51493.39126341569
53.7,51526.41773111404
53.800000000000004,51519.99897214268
53.900000000000006,51492.212086115585
54.0,51489.65535152485
54.1,51529.384019290796
54.2,51513.00446885981
54.300000000000004,51507.497728167196
54.400000000000006,51481.00001422774
54.5,51504.37386849794
54.6,51506.358191674684
54.7,51481.414610399996
54.800000000000004,51484.195858178064
54.900000000000006,51520.49719880504
55.0,51525.38919618617
55.1,51508.00834218034
55.2,51454.07649461672
55.300000000000004,51491.60512481146
55.400000000000006,51502.50232231532
55.5,51511.192272931614
55.6,51495.700354876295
55.7,51461.0439706334
55.800000000000004,51481.0092915947
55.900000000000006,51522.06821107614
56.0,51504.526584022584
56.1,51471.4958069772
56.2,51487.61059839406
56.300000000000004,51486.91665502998
56.400000000000006,51518.39123584629
56.5,51497.446014634035
56.6,51502.08716885236
56.7,51453.89034612484
56.800000000000004,51516.790744108206
56.900000000000006,51505.34080642819
57.0,51514.54731328526
57.1,51519.244485104595
57.2,51507.29628537554
57.300000000000004,51551.29108624159
57.400000000000006,51478.85057336369
57.5,51499.67551026158
57.6,51503.877362050116
57.7,51489.923998557904
57.800000000000004,51498.09105207583
57.900000000000006,51501.277585688644
58.0,51510.94528609916
58.1,51490.918817724065
58.2,51493.045392105116
58.300000000000004,51536.35055204425
58.400000000000006,51473.75558764673
58.5,51514.90509158793
58.6,51508.98178352664
58.7,51502.18138275439
58.800000000000004,51485.906979651416
58.900000000000006,51565.72952162362
59.0,51504.09108893028
59.1,51473.514069934594
59.2,51459.590940793445
59.300000000000004,51512.61993495134
59.400000000000006,51504.899664122924
59.5,51497.22758015552
59.6,51512.32744778611
59.7,51516.76095152954
59.800000000000004,51467.31471993884
59.900000000000006,51490.665299672364
60.0,51515.90530597027
60.1,51461.15812666172
60.2,51516.35201897987
60.300000000000004,51550.84085878803
60.400000000000006,51440.43140097235
60.5,51534.50823875706
60.6,51505.293316158575
60.7,51496.979041709084
60.800000000000004,51459.2861599228
60.900000000000006,51501.1189390559
61.0,51457.630854642885
61.1,51527.45807984761
61.2,51453.69904562706
61.300000000000004,51468.62755157897
61.400000000000006,51500.693036464254
61.5,51526.08784889909
61.6,51492.85800099824
61.7,51525.07402581698
61.800000000000004,51487.72776503829
61.900000000000006,51500.071903708355
62.0,51524.38279210605
62.1,51462.298272231936
62.2,51533.245217305834
62.300000000000004,51522.06686278934
62.400000000000006,51492.88026389986
62.5,51483.32824719195
62.6,51473.90644222685
62.7,51495.32796124636
62.800000000000004,51500.63628194681
62.900000000000006,51462.65741044324
63.0,51480.691622776256
63.1,51496.806189706906
63.2,51475.931129959754
63.300000000000004,51463.09713082174
63.400000000000006,51502.285480740604
63.5,51499.24896868503
63.6,51490.542932764525
63.7,51487.93495190037
63.800000000000004,51500.915580383604
63.900000000000006,51528.624422174005
64.0,51499.51164674871
64.10000000000001,51527.67147547297
64.2,51479.865865939115
64.3,51517.30744353634
64.4,51489.5613942589
64.5,51497.720218520975
64.60000000000001,51495.34502972914
64.7,51509.5582960376
64.8,51519.10866870992
64.9,51476.09454067911
65.0,51506.63062909666
65.10000000000001,51507.67727415612
65.2,51521.22746609985
65.3,51483.193041012906
65.4,51449.134405196084
65.5,51490.15150192715
65.60000000000001,51479.14862387832
65.7,51483.05608127831
65.8,51478.56970941676
65.9,51485.777639309876
66.0,51458.01717785257
66.10000000000001,51490.29319721801
66.2,51483.53778003044
66.3,51533.87903982805
66.4,51468.738496939775
66.5,51508.922130778854
66.60000000000001,51492.52980767841
66.7,51470.63811370766
66.8,51480.00014226522
66.9,51518.061251759624
67.0,51491.550555887494
67.10000000000001,51498.17213668495
67.2,51487.027693930395
67.3,51480.055462220305
67.4,51474.04071754633
67.5,51477.05583444127
67.60000000000001,51530.80789486383
67.7,51528.40970084091
67.8,51465.11847523956
67.9,51532.33883555514
68.0,51493.73400304673
68.10000000000001,51522.05203973463
68.2,51499.271885703034
68.3,51512.376666045966
68.4,51496.63312494148
68.5,51491.91633941911
68.60000000000001,51466.30067772563
68.7,51481.43338384018
68.8,51531.00015168532
68.9,51506.597755812865
69.0,51494.30671026525
69.10000000000001,51532.30677258047
69.2,51479.64968759153
69.3,51476.124835150425
69.4,51470.72468931884
69.5,51498.52446691972
69.60000000000001,51540.88767374624
69.7,51489.2610928189
69.8,51463.1014233635
69.9,51498.37369985494
70.0,51464.360497769296
70.10000000000001,51487.293893386915
70.2,51509.67081247439
70.3,51524.41402815837
70.4,51468.33721888466
70.5,51475.80234495833
70.60000000000001,51499.035403066366
70.7,51533.20679941918
70.8,51507.914019756485
70.9,51510.974236691596
71.0,51476.72677173711
71.10000000000001,51487.89730614745
71.2,51531.28515247378
71.3,51459.91703478464
71.4,51482.924167608435
71.5,51492.55133803496
71.60000000000001,51508.40941329796
71.7,51498.087953206224
71.8,51469.218339044266
71.9,51485.231313558346
72.0,51459.759248791284
72.10000000000001,51515.542781448654
72.2,51507.2876279904
72.3,51526.81369851733
72.4,51465.616478335956
72.5,51523.42697327428
72.60000000000001,51511.06184532003
72.7,51521.433183420144
72.8,51462.431574896145
72.9,51509.7972112801
73.0,51515.65188727943
73.10000000000001,51521.02994484372
73.2,51466.42489969014
73.3,51468.37898506269
73.4,51494.580800580916
73.5,51444.79742429587
73.60000000000001,51526.64652757984
73.7,51445.56911885162
73.8,51471.84099704591
73.9,51494.519863020105
74.0,51537.11085444457
74.10000000000001,51530.9460619134
74.2,51508.82795212579
74.3,51514.98009214077
74.4,51494.87335291578
74.5,51498.96938925095
74.60000000000001,51516.46469264462
74.7,51519.631091484785
74.8,51509.264056627064
74.9,51507.3797136084
75.0,51533.783689631084
75.10000000000001,51491.68825725875
75.2,51453.00347267609
75.3,51473.1008386865
75.4,51495.30464843839
75.5,51488.84238979395
75.60000000000001,51534.4774967018
75.7,51477.87440020214
75.8,51492.61136062449
75.9,51522.99891441159
76.0,51451.12869117553
76.10000000000001,51516.290706236345
76.2,51530.98309068581
76.3,51544.25483914077
76.4,51493.379647296846
76.5,51511.00873801377
76.60000000000001,51533.25342152837
76.7,51489.07445531407
76.80000000000001,51484.313923014175
76.9,51502.568853268094
77.0,51484.43075622145
77.10000000000001,51539.0719616086
77.2,51533.08751394248
77.30000000000001,51537.473056948125
77.4,51501.57438317256
77.5,51497.071413350975
77.60000000000001,51471.097615780614
77.7,51474.878552716094
77.80000000000001,51505.66680782914
77.9,51524.39446912556
78.0,51503.17010355983
78.10000000000001,51524.60540237963
78.2,51514.204971526786
78.30000000000001,51509.565274014334
78.4,51498.21700477716
78.5,51544.73867829447
78.60000000000001,51511.28071612387
78.7,51533.26125336982
78.80000000000001,51480.218859589484
78.9,51520.753324754536
79.0,51505.678170499916
79.10000000000001,51494.43261059486
79.2,51551.52010326609
79.30000000000001,51487.37596917667
79.4,51509.545318472825
79.5,51505.00463510712
79.60000000000001,51517.86419734374
79.7,51551.90406889359
79.80000000000001,51490.73513299903
79.9,51521.956497206476
80.0,51509.017089354966
80.10000000000001,51461.28126696208
80.2,51505.70191740006
80.30000000000001,51522.90625559517
80.4,51490.1430043578
80.5,51506.23337596611
80.60000000000001,51523.85551087975
80.7,51534.791808921655
80.80000000000001,51499.88156817522
80.9,51514.9434105215
81.0,51492.56254913391
81.10000000000001,51463.88643568217
81.2,51466.08830670435
81.30000000000001,51491.12536883964
81.4,51495.83308687268
81.5,51494.4299614183
81.60000000000001,51507.236057427195
81.7,51505.97937951488
81.80000000000001,51470.97274292784
81.9,51494.05474927535
82.0,51518.705157242235
82.10000000000001,51496.13757390239
82.2,51501.90622324318
82.30000000000001,51502.85794135593
82.4,51463.9059782308
82.5,51478.05962301835
82.60000000000001,51511.365235284065
82.7,51516.86112750064
82.80000000000001,51455.20293413459
82.9,51522.22591797926
83.0,51506.60896125125
83.10000000000001,51545.58493535249
83.2,51511.93369549345
83.30000000000001,51535.80625603808
83.4,51485.06893517943
83.5,51433.637012275336
83.60000000000001,51502.23785859203
83.7,51466.69849579227
83.80000000000001,51510.56968080417
83.9,51495.36046876375
84.0,51529.844546765045
84.10000000000001,51504.967895332025
84.2,51477.38080627368
84.30000000000001,51523.30291554246
84.4,51480.787187424045
84.5,51500.3531939252
84.60000000000001,51464.90365339334
84.7,51536.032973298046
84.80000000000001,51512.24659355184
84.9,51509.146207965976
85.0,51510.49159239135
85.10000000000001,51561.81407805574
85.2,51469.229782056944
85.30000000000001,51519.625774005945
85.4,51467.59110816094
85.5,51518.65083299395
85.60000000000001,51536.626003370606
85.7,51509.01237676399
85.80000000000001,51519.01626307628
85.9,51468.20212228423
86.0,51499.18586953605
86.10000000000001,51489.9530159241
86.2,51527.49565756418
86.30000000000001,51529.17053988979
86.4,51524.997392537814
86.5,51467.13272625271
86.60000000000001,51483.45173587551
86.7,51499.24888284512
86.80000000000001,51490.47749972869
86.9,51513.57933654456
87.0,51486.28986479557
87.10000000000001,51479.88548763137
87.2,51519.48242078899
87.30000000000001,51477.31957929353
87.4,51502.99554294973
87.5,51488.22833956289
87.60000000000001,51458.090554131995
87.7,51522.520115549494
87.80000000000001,51514.725302851395
87.9,51525.356343099484
88.0,51482.36279491198
88.10000000000001,51496.531120664346
88.2,51457.21006241609
88.30000000000001,51518.82931190873
88.4,51492.00087691778
88.5,51519.71210996868
88.60000000000001,51513.48959597563
88.7,51485.532965367034
88.80000000000001,51488.40198228487
88.9,51530.837684185935
89.0,51532.57179148876
89.10000000000001,51523.043630276894
89.2,51522.28057983481
89.30000000000001,51497.244868916154
89.4,51511.430352200936
89.5,51490.162003805024
89.60000000000001,51484.17040721966
89.7,51527.5564466972
89.80000000000001,51481.834663740905
89.9,51473.03000207301
90.0,51494.90106431824
90.10000000000001,51505.04080893983
90.2,51507.81003105514
90.30000000000001,51460.79131786194
90.4,51487.08700520974
90.5,51488.27451614114
90.60000000000001,51488.96674860916
90.7,51527.11589556162
90.80000000000001,51448.27746421796
90.9,51498.03767008277
91.0,51511.13969521401
91.10000000000001,51473.78444286236
91.2,51499.34520587224
91.30000000000001,51531.755909023166
91.4,51507.68457647807
91.5,51502.1055319176
91.60000000000001,51488.66212148564
91.7,51523.38473849645
91.80000000000001,51492.88156065272
91.9,51516.73315442694
92.0,51481.47979227087
92.10000000000001,51524.27233841284
92.2,51455.443203184004
92.30000000000001,51501.62330078384
92.4,51501.50024648171
92.5,51484.32765202481
92.60000000000001,51486.3450893785
92.7,51502.3483457626
92.80000000000001,51500.871631623806
92.9,51476.6037075409
93.0,51480.19378588587
93.10000000000001,51509.877158213545
93.2,51472.5165725162
93.30000000000001,51531.00470176334
93.4,51489.59383296509
93.5,51466.495900046466
93.60000000000001,51515.02623363838
93.7,51455.688526220016
93.80000000000001,51520.236536046665
93.9,51519.7045686805
94.0,51496.56640836045
94.10000000000001,51513.72101974449
94.2,51531.05539631905
94.30000000000001,51526.611553940515
94.4,51557.1869369551
94.5,51504.031784101775
94.60000000000001,51522.698440692126
94.7,51504.6151338774
94.80000000000001,51484.59997739499
94.9,51512.005032419016
95.0,51499.810120480346
95.10000000000001,51512.42991488386
95.2,51544.33257846325
95.30000000000001,51546.161146374936
95.4,51475.23702810782
95.5,51514.65842419973
95.60000000000001,51504.43030417631
95.7,51505.67790703003
95.80000000000001,51488.45189809536
95.9,51490.342283089645
96.0,51472.891708933086
96.10000000000001,51505.62386693093
96.2,51513.889068096076
96.30000000000001,51489.78821484704
96.4,51503.83011942584
96.5,51508.80620784078
96.60000000000001,51516.0574648588
96.7,51487.40290337236
96.80000000000001,51524.313554109816
96.9,51459.90921208987
97.0,51522.61902751563
97.10000000000001,51563.57035586668
97.2,51474.500189549115
97.30000000000001,51531.158723998255
97.4,51496.413258098335
97.5,51486.19239091333
97.60000000000001,51505.75995935367
97.7,51530.7768276604
97.80000000000001,51501.61267751983
97.9,51469.99591953487
98.0,51469.680073195086
98.10000000000001,51454.93081057489
98.2,51490.630107278696
98.30000000000001,51518.793465355484
98.4,51487.69445683599
98.5,51487.11814016925
98.60000000000001,51524.30299355913
98.7,51494.73063022865
98.80000000000001,51500.63664563141
98.9,51456.736390769285
99.0,51510.342332777946
99.10000000000001,51506.07782864994
99.2,51524.25078093613
99.30000000000001,51481.51320160719
99.4,51548.28406424258
99.5,51533.48087424516
99.60000000000001,51528.91494176422
99.7,51452.936206144215
99.80000000000001,51446.392144288104
99.9,51460.48574215308
100.0,51449.98765707469
100.10000000000001,51488.87388687309
100.2,51492.81931498162
100.30000000000001,51477.2981765043
100.4,51505.89550058706
100.5,51491.46753999721
100.60000000000001,51526.63332573518
100.7,51447.015459239316
100.80000000000001,51505.94444858392
100.9,51454.84213218704
101.0,51544.17891816784
101.10000000000001,51493.52491304447
101.2,51500.50446452671
101.30000000000001,51476.842175536716
101.4,51496.89786022816
101.5,51480.07024676958
101.60000000000001,51503.40018346502
101.7,51480.611034157235
101.80000000000001,51511.59713230765
101.9,51470.028571769144
102.0,51515.445185810866
102.10000000000001,51485.477166786965
102.2,51501.84921217951
102.30000000000001,51450.38102557686
102.4,51459.42304787506
102.5,51498.930823662544
102.60000000000001,51499.612790933534
102.7,51556.98306548278
102.80000000000001,51502.093318208186
102.9,51484.92545789284
103.0,51470.38195509653
103.10000000000001,51495.81543165687
103.2,51497.33569760155
103.30000000000001,51526.483774603585
103.4,51464.5326156652
103.5,51499.87221116993
103.60000000000001,51474.783377904736
103.7,51487.91557854714
103.80000000000001,51473.64845242855
